5.5,3.1623,2.02513,1.94116,2.28139,3.13906,2.34421,1.70806,1.94476
6.5,3.34347,2.22203,2.17355,2.99342,3.88405,2.61785,1.62969,1.868
7.5,3.76578,2.49267,2.43913,4.01768,4.22484,2.80966,1.66466,2.1037
8.5,4.27422,2.83583,2.82342,4.8008,3.89829,2.81595,1.79706,2.31117
9.5,5.06684,3.30967,3.27922,5.05467,3.5013,2.74125,1.97531,2.65138
10.5,5.57099,3.70522,3.68672,4.53647,3.01819,2.53944,2.09012,2.9134
11.5,6.20428,4.45445,4.39654,4.56175,2.88502,2.44922,2.31636,3.36639
12.5,6.61758,5.03068,4.80552,4.62561,2.60666,2.4856,2.34273,3.6766
13.5,7.30578,5.72178,5.40905,4.82556,2.79678,2.68021,2.63755,3.88117
14.5,7.58695,5.98861,5.66576,4.81941,2.885,2.75307,2.84865,3.96738
15.5,8.0842,6.265,5.98767,4.9249,3.0855,2.88524,3.11997,3.97468
16.5,8.5041,6.4678,6.14567,4.88448,3.16957,3.00129,3.27046,3.81227
17.5,8.9054,6.54514,6.21352,4.80788,3.31325,3.10631,3.4122,3.61733
18.5,9.50254,6.62745,6.19437,4.72369,3.43175,3.22391,3.6125,3.43667
19.5,9.54578,6.44844,6.14344,4.50859,3.45814,3.21294,3.53304,3.2221
20.5,10.0857,6.57318,6.25909,4.41959,3.57643,3.37667,3.72751,3.16067
21.5,10.1164,6.25357,6.06856,4.24923,3.34865,3.28003,3.52157,2.92648
22.5,10.89,6.65729,6.40076,4.3679,3.65445,3.4356,3.86215,2.95669
23.5,11.0144,6.5976,6.3143,4.23552,3.5993,3.5155,3.76988,2.94987
24.5,11.8901,7.04281,6.86812,4.54701,4.03371,3.83887,4.0224,2.95898
25.5,12.2006,7.00833,6.95593,4.4003,3.92305,3.68359,4.15808,2.81295
26.5,13.4579,7.64179,7.55489,4.63798,4.50162,4.27825,4.59707,2.83117
27.5,13.9961,7.53385,7.58222,4.38971,4.53305,4.34139,4.57924,2.48244
28.5,15.2681,8.07568,8.12353,4.48376,5.10404,4.79646,5.17104,2.35712
29.5,14.9304,7.26332,7.65401,3.96934,5.12339,4.96475,5.15224,1.88206
30.5,15.8969,7.49134,7.32682,3.60078,5.74574,4.93354,5.24913,1.89823
31.5,15.1822,6.49456,6.76458,2.87865,5.61901,4.69222,5.24014,1.66122
32.5,15.1949,6.06271,6.1694,2.76465,5.51626,4.96388,5.58436,1.42257
33.5,13.0266,4.61472,4.87471,2.26118,5.02736,4.5518,5.03586,1.41819
34.5,12.6654,4.6311,4.68629,2.38223,4.98909,4.8635,4.36117,1.34717
35.5,10.2881,4.24674,4.39764,1.89702,4.72269,3.67915,4.18754,1.0034
36.5,11.4174,4.21141,4.51957,1.93583,5.6687,4.55065,4.70757,1.29458
37.5,10.5268,3.61409,3.8304,1.42401,4.87749,4.11678,3.89304,1.20819
38.5,9.21163,2.92644,2.91535,1.2526,4.43043,4.65058,3.52233,1.78868
39.5,7.92338,2.45343,2.48025,1.20661,4.62618,3.66101,3.96054,2.22989
11,11.7207,8.13921,8.06336,9.02882,5.84925,4.94611,4.38324,6.25677
