#RunN,Or,target,time(s),time(h),time eval(s),time eval(h),charge integrator (µC),charge Faraday (µC)
371,N,Cr-thick-bw,1140,0.32,984,0.3,36893,34576
372,N,Cr-thick-bw,1260,0.35,1256,0.4,45279,41593
373,N,Cr-thick-bw,5040,1.4,4970,1.4,175416,164896
374,N,Cr-thick-bw,9900,2.75,9747,2.7,348620,324304
375,N,Cr-thick-bw,10740,2.98,10763,3,385612,357639
376,N,Cr-thick-bw,11280,3.13,11273,3.1,399177,371059
377,N,Cr-thick-bw,5340,1.48,5363,1.5,190571,177876
378,N,wire cross,900,0.25,871,0.2,29706,27795
379,N,wire cross,5760,1.6,5718,1.6,197215,183999
380,R,wire cross,3960,1.1,3979,1.1,134102,123412
381,R,dummy,60,0.02,-1,-1,2297,1897
382,R,wire cross,3960,1.1,3686,1,116237,108364
383,R,Fe-thick,14400,4,14144,3.9,498296,462570
384,R,Fe-thick,14520,4.03,14406,4,517016,479783
385,R,Fe-thin,7740,2.15,7047,2,239554,221636
386,R,Fe-thin,10740,2.98,10760,3,391924,364245
387,R,Fe-thin,11280,3.13,7042,2,367117,350900
388,N,C,7740,2.15,7738,2.2,305744,292294
389,N,Fe-thin,15600,4.33,15535,4.3,631980,603136
390,N,Fe-thin,12900,3.58,12766,3.6,459653,438141
391,N,Fe-thin,10800,3,10751,3,381195,364772
392,N,Fe-thin,10800,3,10770,3,386684,369851
393,N,Fe-thin,10980,3.05,10927,3,387590,365282
394,N,Fe-thin,10620,2.95,10525,2.9,375512,359509
395,N,Fe-thin,120,0.03,137,0,5766,4257
396,N,Fe-thick,900,0.25,938,0.3,34953,31419
397,N,Fe-thick,6960,1.93,6653,1.9,235857,226026
398,N,Fe-thick,11940,3.32,11043,3.1,384778,366797
399,N,Fe-thick,5280,1.47,5252,1.5,184514,175144
400,N,Fe-thick,11400,3.17,11375,3.2,399962,382035
401,N,Fe-thick,10440,2.9,10450,2.9,363706,346814
402,N,Fe-thick,10500,2.92,10410,2.9,366199,350300
403,N,Fe-thick,10560,2.93,10560,2.9,371174,354273
404,N,Fe-thick,11340,3.15,11278,3.1,380603,363833
405,N,Fe-thick,3120,0.87,3107,0.9,92507,88191
406,N,C,7440,2.07,7414,2.1,256198,244616
407,N,CH2,12660,3.52,12634,3.5,444327,424650
408,R,Fe-thin,13380,3.72,-1,3.5,427472,409130
409,R,Fe-thin,4560,1.27,-1,1.1,140023,134307
410,R,Fe-thick,10260,2.85,-1,2.8,390225,374557
411,R,Fe-thick,10620,2.95,-1,2.4,337392,321611
412,R,Fe-thick,10560,2.93,-1,2.9,414385,385346
413,R,Fe-thick,11487,3.35,-1,3.2,433828,403000
414,R,Fe-thin,15497,4.32,-1,4.3,0,510062
415,R,Fe-thin,361,0.1,-1,-1,-1,12388
416,R,Fe-thin,12701,0.05,-1,-1,-1,6268
417,R,Fe-thin,12701,3.53,-1,-1,-1,415099
