0.333333	0
1	0
1.66667	0
2.33333	0.017738
3	0.11308
3.66667	0.328153
4.33333	0.425712
5	0.44345
5.66667	0.439015
6.33333	0.341456
7	0.299328
7.66667	0.268287
8.33333	0.239463
9	0.215073
9.66667	0.121949
10.3333	0.0886899
11	0.121949
11.6667	0.0798209
12.3333	0.0576485
13	0.0620829
13.6667	0.0731692
14.3333	0.0487795
15	0.053214
15.6667	0.0554312
16.3333	0.0376932
17	0.0376932
17.6667	0.0288242
18.3333	0.0332587
19	0.017738
19.6667	0.0243897
20.3333	0.0155207
21	0.0110862
21.6667	0.0199552
22.3333	0.0044345
23	0.0155207
23.6667	0.017738
24.3333	0.00886899
25	0.00665174
25.6667	0.0044345
26.3333	0.00886899
27	0.00221725
27.6667	0.0044345
28.3333	0.00221725
29	0.00221725
29.6667	0.00221725
30.3333	0.00221725
31	0
31.6667	0.00221725
32.3333	0
33	0.0044345
33.6667	0
34.3333	0
35	0.00221725
35.6667	0.00221725
36.3333	0
37	0
37.6667	0
38.3333	0.0044345
39	0
39.6667	0
