E	Xs54	E	xs56	E	xs57	E	xs58
1.80E+01	1.45E+00	1.80E+01	1.25E+00	1.80E+01	9.11E-01	1.75E+01	0.00E+00
1.85E+01	1.39E+00	1.85E+01	1.10E+00	1.85E+01	8.54E-01	1.80E+01	0.00E+00
1.86E+01	1.38E+00	1.86E+01	1.07E+00	1.86E+01	8.39E-01	1.85E+01	0.00E+00
1.87E+01	1.37E+00	1.87E+01	1.04E+00	1.87E+01	8.24E-01	1.86E+01	8.09E-03
1.88E+01	1.36E+00	1.88E+01	1.00E+00	1.88E+01	8.11E-01	1.87E+01	3.86E-03
1.89E+01	1.35E+00	1.89E+01	9.69E-01	1.89E+01	8.01E-01	1.88E+01	1.72E-03
1.90E+01	1.33E+00	1.90E+01	9.37E-01	1.90E+01	7.95E-01	1.89E+01	7.39E-04
1.91E+01	1.32E+00	1.91E+01	9.03E-01	1.91E+01	7.97E-01	1.90E+01	3.18E-04
1.92E+01	1.31E+00	1.92E+01	8.74E-01	1.92E+01	8.11E-01	1.91E+01	1.47E-04
1.93E+01	1.29E+00	1.93E+01	8.51E-01	1.93E+01	8.44E-01	1.92E+01	7.65E-05
1.94E+01	1.28E+00	1.94E+01	8.37E-01	1.94E+01	8.98E-01	1.93E+01	4.42E-05
1.95E+01	1.27E+00	1.95E+01	8.37E-01	1.95E+01	9.75E-01	1.94E+01	2.65E-05
1.96E+01	1.25E+00	1.96E+01	7.95E-01	1.96E+01	9.79E-01	1.95E+01	1.56E-05
1.97E+01	1.24E+00	1.97E+01	7.68E-01	1.97E+01	9.91E-01	1.96E+01	8.68E-06
1.98E+01	1.22E+00	1.98E+01	7.53E-01	1.98E+01	9.97E-01	1.97E+01	4.53E-06
1.99E+01	1.21E+00	1.99E+01	7.44E-01	1.99E+01	9.82E-01	1.98E+01	2.19E-06
2.00E+01	1.19E+00	2.00E+01	7.31E-01	2.00E+01	9.35E-01	1.99E+01	9.79E-07
2.01E+01	1.17E+00	2.01E+01	7.72E-01	2.01E+01	9.44E-01	2.00E+01	4.04E-07
2.02E+01	1.15E+00	2.02E+01	7.92E-01	2.02E+01	9.20E-01	2.01E+01	1.54E-07
2.03E+01	1.13E+00	2.03E+01	7.85E-01	2.03E+01	8.71E-01	2.02E+01	5.39E-08
2.04E+01	1.11E+00	2.04E+01	7.52E-01	2.04E+01	8.08E-01	2.03E+01	1.74E-08
2.05E+01	1.09E+00	2.05E+01	6.97E-01	2.05E+01	7.40E-01	2.04E+01	5.19E-09
2.06E+01	1.07E+00	2.06E+01	6.25E-01	2.06E+01	6.74E-01	2.05E+01	1.42E-09
2.07E+01	1.05E+00	2.07E+01	5.41E-01	2.07E+01	6.13E-01	2.06E+01	3.59E-10
2.08E+01	1.04E+00	2.08E+01	4.52E-01	2.08E+01	5.57E-01	2.07E+01	8.35E-11
2.09E+01	1.02E+00	2.09E+01	3.61E-01	2.09E+01	5.06E-01	2.08E+01	1.79E-11
2.10E+01	9.97E-01	2.10E+01	2.71E-01	2.10E+01	4.57E-01	2.09E+01	3.52E-12
2.11E+01	9.64E-01	2.11E+01	2.12E-01	2.11E+01	4.25E-01	2.10E+01	6.37E-13
2.12E+01	9.32E-01	2.12E+01	1.60E-01	2.12E+01	3.94E-01	2.11E+01	1.06E-13
2.13E+01	9.01E-01	2.13E+01	1.15E-01	2.13E+01	3.65E-01	2.12E+01	1.63E-14
2.14E+01	8.73E-01	2.14E+01	7.92E-02	2.14E+01	3.35E-01	2.13E+01	2.30E-15
2.15E+01	8.48E-01	2.15E+01	5.18E-02	2.15E+01	3.05E-01	2.14E+01	2.98E-16
2.16E+01	8.29E-01	2.16E+01	3.22E-02	2.16E+01	2.74E-01	2.15E+01	3.56E-17
2.17E+01	8.16E-01	2.17E+01	1.89E-02	2.17E+01	2.41E-01	2.16E+01	3.91E-18
2.18E+01	8.11E-01	2.18E+01	1.05E-02	2.18E+01	2.08E-01	2.17E+01	3.95E-19
2.19E+01	8.15E-01	2.19E+01	5.55E-03	2.19E+01	1.73E-01	2.18E+01	3.66E-20
2.20E+01	8.27E-01	2.20E+01	2.76E-03	2.20E+01	1.40E-01	2.19E+01	3.12E-21
2.21E+01	8.16E-01	2.21E+01	1.29E-03	2.21E+01	1.09E-01	2.20E+01	2.45E-22
2.22E+01	8.10E-01	2.22E+01	5.73E-04	2.22E+01	8.13E-02	2.21E+01	1.76E-23
2.23E+01	8.06E-01	2.23E+01	2.39E-04	2.23E+01	5.81E-02	2.22E+01	1.17E-24
2.24E+01	7.99E-01	2.24E+01	9.45E-05	2.24E+01	3.97E-02	2.23E+01	7.10E-26
2.25E+01	7.85E-01	2.25E+01	3.53E-05	2.25E+01	2.58E-02	2.24E+01	3.97E-27
2.26E+01	7.60E-01	2.26E+01	1.25E-05	2.26E+01	1.60E-02	2.25E+01	2.04E-28
2.27E+01	7.24E-01	2.27E+01	4.20E-06	2.27E+01	9.42E-03	2.26E+01	9.61E-30
2.28E+01	6.74E-01	2.28E+01	1.35E-06	2.28E+01	5.27E-03	2.27E+01	4.16E-31
2.29E+01	6.11E-01	2.29E+01	4.21E-07	2.29E+01	2.80E-03	2.28E+01	1.66E-32
2.30E+01	5.37E-01	2.30E+01	1.28E-07	2.30E+01	1.41E-03	2.29E+01	6.05E-34
2.31E+01	5.20E-01	2.31E+01	3.85E-08	2.31E+01	6.76E-04	2.30E+01	2.03E-35
2.32E+01	4.97E-01	2.32E+01	1.16E-08	2.32E+01	3.07E-04	2.31E+01	6.25E-37
2.33E+01	4.70E-01	2.33E+01	3.51E-09	2.33E+01	1.33E-04	2.32E+01	1.77E-38
2.34E+01	4.41E-01	2.34E+01	1.07E-09	2.34E+01	5.47E-05	2.33E+01	4.59E-40
2.35E+01	4.10E-01	2.35E+01	3.23E-10	2.35E+01	2.15E-05	2.34E+01	1.09E-41
2.36E+01	3.77E-01	2.36E+01	9.61E-11	2.36E+01	8.15E-06	2.35E+01	2.38E-43
2.37E+01	3.43E-01	2.37E+01	2.77E-11	2.37E+01	3.00E-06	2.36E+01	4.20E-45
2.38E+01	3.08E-01	2.38E+01	7.70E-12	2.38E+01	1.09E-06	2.37E+01	0.00E+00
2.39E+01	2.72E-01	2.39E+01	2.04E-12	2.39E+01	3.96E-07	2.38E+01	0.00E+00
2.40E+01	2.36E-01	2.40E+01	5.15E-13	2.40E+01	1.46E-07	2.39E+01	0.00E+00
2.41E+01	2.01E-01	2.41E+01	1.23E-13	2.41E+01	5.53E-08	2.40E+01	0.00E+00
2.42E+01	1.67E-01	2.42E+01	2.79E-14	2.42E+01	2.13E-08	2.41E+01	0.00E+00
2.43E+01	1.36E-01	2.43E+01	5.96E-15	2.43E+01	8.25E-09	2.42E+01	0.00E+00
2.44E+01	1.08E-01	2.44E+01	1.21E-15	2.44E+01	3.17E-09	2.43E+01	0.00E+00
2.45E+01	8.37E-02	2.45E+01	2.30E-16	2.45E+01	1.19E-09	2.44E+01	0.00E+00
2.46E+01	6.33E-02	2.46E+01	4.15E-17	2.46E+01	4.32E-10	2.45E+01	0.00E+00
2.47E+01	4.67E-02	2.47E+01	7.06E-18	2.47E+01	1.51E-10	2.46E+01	0.00E+00
