#EN,E,ANG,DATA,ERR-S
60.7,34.7,15,1.05,0.19
60.7,36.7,15,1.01,0.18
60.7,38.7,15,1.94,0.18
60.7,40.7,15,1.57,0.16
60.7,42.7,15,1.56,0.16
60.7,44.7,15,0.98,0.16
60.7,46.7,15,1.41,0.15
60.7,4.7,20,0.8,0.09
60.7,6.7,20,0.76,0.09
60.7,10.7,20,0.64,0.12
60.7,12.7,20,0.83,0.13
60.7,14.7,20,0.41,0.16
60.7,16.7,20,0.88,0.15
60.7,18.7,20,0.88,0.15
60.7,20.7,20,1.27,0.16
60.7,22.7,20,0.82,0.17
60.7,24.7,20,0.75,0.16
60.7,26.7,20,0.93,0.16
60.7,28.7,20,1.16,0.15
60.7,30.7,20,0.92,0.15
60.7,32.7,20,0.92,0.16
60.7,34.7,20,0.8,0.15
60.7,36.7,20,1.08,0.14
60.7,38.7,20,1.51,0.14
60.7,40.7,20,1.43,0.14
60.7,42.7,20,1.57,0.14
60.7,3.8,35,0.91,0.07
60.7,7.8,35,1.04,0.1
60.7,9.8,35,0.52,0.11
60.7,11.8,35,0.74,0.1
60.7,13.8,35,0.51,0.12
60.7,15.8,35,0.65,0.11
60.7,17.8,35,0.55,0.11
60.7,19.8,35,0.46,0.13
60.7,21.8,35,0.52,0.12
60.7,23.8,35,0.45,0.12
60.7,25.8,35,0.46,0.12
60.7,27.8,35,0.58,0.13
60.7,29.8,35,0.59,0.14
60.7,3.4,40,0.66,0.06
60.7,7.4,40,0.5,0.1
60.7,9.4,40,0.31,0.12
60.7,11.4,40,0.51,0.11
60.7,13.4,40,0.48,0.1
60.7,15.4,40,0.43,0.11
60.7,17.4,40,0.46,0.1
60.7,19.4,40,0.55,0.13
60.7,21.4,40,0.47,0.11
60.7,23.4,40,0.54,0.12
60.7,25.4,40,0.63,0.1
60.7,45.4,40,0.12,0.09
60.7,4.1,45,0.43,0.07
60.7,8.1,45,0.52,0.1
60.7,10.1,45,0.31,0.1
60.7,12.1,45,0.23,0.12
60.7,14.1,45,0.29,0.11
60.7,16.1,45,0.28,0.11
60.7,40.1,45,0.51,0.08
60.7,42.1,45,0.38,0.07
60.7,44.1,45,0.13,0.06
60.7,19.4,65,0.21,0.09
60.7,21.4,65,0.19,0.08
60.7,23.4,65,0.26,0.07
60.7,25.4,65,0.15,0.07
60.7,27.4,65,0.13,0.07
60.7,29.4,65,0.23,0.07
60.7,31.4,65,0.13,0.06
60.7,33.4,65,0,0.07
60.7,35.4,65,0.08,0.07
60.7,37.4,65,0.12,0.06
60.7,39.4,65,0.13,0.05
60.7,41.4,65,0.07,0.05
60.7,2.8,90,0.45,0.12
60.7,8.8,90,0.1,0.08
