#EN,#E,#ANG,#DATA,#ERR-S
#MEV,MEV,ADEG,MB/SR/MEV,MB/SR/MEV
60.7,15.4,40.0,0.43,0.11
60.7,17.4,40.0,0.46,0.10
60.7,19.4,40.0,0.55,0.13
60.7,21.4,40.0,0.47,0.11
60.7,23.4,40.0,0.54,0.12
60.7,25.4,40.0,0.63,0.10
60.7,45.4,40.0,0.12,0.09
60.7,4.1,45.0,0.43,0.07
60.7,8.1,45.0,0.52,0.10
60.7,10.1,45.0,0.31,0.10
60.7,12.1,45.0,0.23,0.12
60.7,14.1,45.0,0.29,0.11
60.7,16.1,45.0,0.28,0.11
60.7,40.1,45.0,0.51,0.08
60.7,42.1,45.0,0.38,0.07
60.7,44.1,45.0,0.13,0.06
60.7,19.4,65.0,0.21,0.09
60.7,21.4,65.0,0.19,0.08
60.7,23.4,65.0,0.26,0.07
60.7,25.4,65.0,0.15,0.07
60.7,27.4,65.0,0.13,0.07
60.7,29.4,65.0,0.23,0.07
60.7,31.4,65.0,0.13,0.06
60.7,33.4,65.0,0.00,0.07
60.7,35.4,65.0,0.08,0.07
60.7,37.4,65.0,0.12,0.06
60.7,39.4,65.0,0.13,0.05
60.7,41.4,65.0,0.07,0.05
60.7,2.8,90.0,0.45,0.12
60.7,8.8,90.0,0.10,0.08
60.7,10.8,90.0,0.31,0.13
60.7,12.8,90.0,0.12,0.13
60.7,14.8,90.0,0.31,0.11
60.7,16.8,90.0,0.12,0.13
60.7,18.8,90.0,-0.06,0.12
60.7,20.8,90.0,0.25,0.09
60.7,22.8,90.0,0.19,0.10
60.7,24.8,90.0,0.13,0.06
60.7,26.8,90.0,0.08,0.09
60.7,28.8,90.0,0.14,0.08
60.7,30.8,90.0,0.04,0.09
60.7,2.8,130.0,0.45,0.12
60.7,8.8,130.0,0.03,0.10
60.7,10.8,130.0,0.18,0.12
60.7,12.8,130.0,0.28,0.11
60.7,14.8,130.0,0.18,0.12
60.7,16.8,130.0,0.02,0.13
60.7,18.8,130.0,-0.03,0.14
60.7,20.8,130.0,-0.05,0.14
60.7,22.8,130.0,0.23,0.10
60.7,24.8,130.0,0.10,0.05
60.7,26.8,130.0,0.04,0.03
60.7,28.8,130.0,0.06,0.05
60.7,30.8,130.0,0.03,0.03
60.7,2.8,150.0,0.42,0.10
60.7,8.8,150.0,0.25,0.13
60.7,10.8,150.0,0.18,0.19
60.7,12.8,150.0,0.17,0.21
60.7,14.8,150.0,-0.04,0.23
60.7,16.8,150.0,-0.28,0.23
60.7,18.8,150.0,0.13,0.23
60.7,20.8,150.0,0.21,0.21
60.7,22.8,150.0,-0.10,0.19
60.7,24.8,150.0,0.04,0.10
60.7,26.8,150.0,-0.01,0.09
60.7,28.8,150.0,-0.01,0.08
60.7,30.8,150.0,-0.14,0.12
