29.5,5,2.5,1.033,0.134
29.5,5,10,1.025,0.133
29.5,5,20,1.505,0.419
29.5,5,30,0.963,0.125
29.5,5,40,0.914,0.119
29.5,5,50,1.355,0.417
29.5,5,60,0.67,0.181
29.5,5,70,0.732,0.095
29.5,5,80,0.67,0.087
29.5,5,90,0.612,0.079
29.5,5,100,0.558,0.073
29.5,5,110,0.423,0.075
29.5,5,120,0.391,0.111
29.5,5,130,0.437,0.057
29.5,5,140,0.715,0.153
29.5,5,150,0.756,0.206
29.5,5,160,0.374,0.049
29.5,5,170,0.365,0.047
29.5,5,177.5,0.362,0.047
29.5,7,2.5,1.488,0.193
29.5,7,10,1.466,0.191
29.5,7,20,1.784,0.184
29.5,7,30,1.291,0.168
29.5,7,40,0.963,0.102
29.5,7,50,1.2,0.168
29.5,7,60,1.043,0.13
29.5,7,70,0.647,0.078
29.5,7,80,0.617,0.08
29.5,7,90,0.582,0.098
29.5,7,100,0.419,0.074
29.5,7,110,0.364,0.041
29.5,7,120,0.265,0.039
29.5,7,130,0.216,0.025
29.5,7,140,0.33,0.045
29.5,7,150,0.434,0.069
29.5,7,160,0.188,0.024
29.5,7,170,0.179,0.023
29.5,7,177.5,0.177,0.023
29.5,9,2.5,1.333,0.173
29.5,9,10,0.309,0.17
29.5,9,20,1.217,0.103
29.5,9,30,0.125,0.146
29.5,9,40,0.977,0.078
29.5,9,50,0.765,0.086
29.5,9,60,0.864,0.056
29.5,9,70,0.542,0.053
29.5,9,80,0.465,0.06
29.5,9,90,0.382,0.054
29.5,9,100,0.268,0.041
29.5,9,110,0.197,0.023
29.5,9,120,0.197,0.024
29.5,9,130,0.138,0.014
29.5,9,140,0.21,0.026
29.5,9,150,0.181,0.03
29.5,9,160,0.316,0.051
29.5,9,170,0.106,0.014
29.5,9,177.5,0.104,0.014
29.5,11,2.5,1.154,0.15
29.5,11,10,0.129,0.147
29.5,11,20,1.11,0.086
29.5,11,30,0.028,0.082
29.5,11,40,0.837,0.055
29.5,11,50,0.604,0.059
29.5,11,60,0.598,0.038
29.5,11,70,0.311,0.032
29.5,11,80,0.223,0.033
29.5,11,90,0.252,0.035
29.5,11,100,0.183,0.027
29.5,11,110,0.126,0.016
29.5,11,120,0.123,0.015
29.5,11,130,0.056,0.012
29.5,11,140,0.112,0.015
29.5,11,150,0.099,0.019
29.5,11,160,0.202,0.027
29.5,11,170,0.051,0.007
29.5,11,177.5,0.049,0.006
29.5,13,2.5,1.235,0.161
29.5,13,10,0.198,0.156
29.5,13,20,1.181,0.063
29.5,13,30,0.096,0.059
29.5,13,40,0.805,0.05
29.5,13,50,0.342,0.037
29.5,13,60,0.529,0.032
29.5,13,70,0.196,0.023
29.5,13,80,0.275,0.033
29.5,13,90,0.117,0.02
29.5,13,100,0.075,0.015
29.5,13,110,0.064,0.01
29.5,13,120,0.055,0.009
29.5,13,130,0.053,0.011
29.5,13,140,0.072,0.01
29.5,13,150,0.02,0.007
29.5,13,160,0.162,0.016
29.5,13,170,0.017,0.002
29.5,13,177.5,0.017,0.002
29.5,15,2.5,1.285,0.167
29.5,15,10,0.23,0.16
29.5,15,20,1.032,0.06
29.5,15,30,0.313,0.064
29.5,15,40,0.572,0.041
29.5,15,50,0.256,0.03
29.5,15,60,0.333,0.021
29.5,15,70,0.115,0.017
29.5,15,80,0.268,0.03
29.5,15,90,0.081,0.015
29.5,15,100,0.026,0.008
29.5,15,110,0.028,0.005
29.5,15,120,0.013,0.007
29.5,15,130,0.011,0.004
29.5,17,2.5,1.299,0.169
29.5,17,10,0.224,0.159
29.5,17,20,0.96,0.058
29.5,17,30,0.074,0.058
29.5,17,40,0.435,0.032
29.5,17,50,0.192,0.02
29.5,17,60,0.247,0.016
29.5,17,70,0.054,0.009
29.5,17,80,0.183,0.019
29.5,17,90,0.029,0.011
29.5,17,100,0.015,0.006
29.5,19,2.5,1.01,0.131
29.5,19,10,0.92,0.12
29.5,19,20,0.633,0.047
29.5,19,30,0.573,0.042
29.5,19,40,0.211,0.022
29.5,19,50,0.052,0.012
29.5,19,60,0.079,0.01
29.5,19,70,0.011,0.006
29.5,19,80,0.058,0.012
29.5,21,2.5,0.237,0.031
29.5,21,10,0.214,0.028
29.5,21,20,0.167,0.029
29.5,21,30,0.069,0.021
29.5,21,40,0.048,0.011
